"from","to","weight","agreement_rate","total_votes","width","color"
"BIJ1","Ephraim",145,0.132662397072278,1093,0.5,"#80808014"
"Ephraim","SGP",203,0.184713375796178,1099,0.5,"#80808014"
"PVV","Ephraim",195,0.177434030937216,1099,0.5,"#80808014"
"PvdD","Ephraim",96,0.0873521383075523,1099,0.5,"#80808014"
"JA21","Ephraim",229,0.208751139471285,1097,0.5,"#80808014"
"Volt","Ephraim",107,0.097538742023701,1097,0.5,"#80808014"
"VVD","Ephraim",175,0.159090909090909,1100,0.5,"#80808014"
"Omtzigt","Ephraim",275,0.250683682771194,1097,0.5,"#80808014"
"PvdA","Ephraim",97,0.0883424408014572,1098,0.5,"#80808014"
"FVD","Ephraim",214,0.194545454545455,1100,0.5,"#80808014"
"GroenLinks","Ephraim",98,0.089171974522293,1099,0.5,"#80808014"
"Fractie Den Haan","Ephraim",78,0.0709736123748863,1099,0.5,"#80808014"
"ChristenUnie","ChristenUnie",0,0,7,0.5,"#80808014"
"FVD","FVD",0,0,8,0.5,"#80808014"
"SGP","SGP",0,0,7,0.5,"#80808014"
"Groep Van Haga","Groep Van Haga",0,0,11,0.5,"#80808014"
"DENK","DENK",0,0,7,0.5,"#80808014"
"PvdA","PvdA",0,0,9,0.5,"#80808014"
