"from","to","z_score","raw_weight","agreement_rate","total_votes","weight","width","color"
"DENK","VVD",0.0293715230612978,1899,0.57095610342754,3326,0.0293715230612978,1.51468576153065,"#80808026"
"DENK","Volt",1.20682445172856,2721,0.82504548211037,3298,1.20682445172856,2.10341222586428,"#4D4D4DCC"
"FVD","Ephraim",-2.38426373825786,214,0.194545454545455,1100,-2.38426373825786,0.307868130871072,"#80808026"
"Fractie Den Haan","Ephraim",-2.5790734685483,78,0.0709736123748863,1099,-2.5790734685483,0.3,"#80808026"
"G<U+00FC>ndogan","Ephraim",-2.07772489794789,428,0.389799635701275,1098,-2.07772489794789,0.461137551026057,"#80808026"
"GroenLinks","Ephraim",-2.55042497879971,98,0.089171974522293,1099,-2.55042497879971,0.3,"#80808026"
"Ephraim","Groep Van Haga",-2.36420979543384,228,0.206896551724138,1102,-2.36420979543384,0.31789510228308,"#80808026"
"JA21","Ephraim",-2.36277737094641,229,0.208751139471285,1097,-2.36277737094641,0.318611314526795,"#80808026"
"Omtzigt","Ephraim",-2.29688584452464,275,0.250683682771194,1097,-2.29688584452464,0.35155707773768,"#80808026"
"PVV","Ephraim",-2.41147980351902,195,0.177434030937216,1099,-2.41147980351902,0.3,"#80808026"
"PvdA","Ephraim",-2.55185740328714,97,0.0883424408014572,1098,-2.55185740328714,0.3,"#80808026"
"PvdD","Ephraim",-2.55328982777457,96,0.0873521383075523,1099,-2.55328982777457,0.3,"#80808026"
"Ephraim","SGP",-2.40002040761958,203,0.184713375796178,1099,-2.40002040761958,0.3,"#80808026"
"SP","Ephraim",-2.52464133802597,116,0.105550500454959,1099,-2.52464133802597,0.3,"#80808026"
"VVD","Ephraim",-2.44012829326762,175,0.159090909090909,1100,-2.44012829326762,0.3,"#80808026"
"Volt","Ephraim",-2.53753315841284,107,0.097538742023701,1097,-2.53753315841284,0.3,"#80808026"
"FVD","G<U+00FC>ndogan",-1.20824323407802,1035,0.313541351105726,3301,-1.20824323407802,0.895878382960991,"#80808026"
"FVD","GroenLinks",-0.788542859261098,1328,0.399158400961827,3327,-0.788542859261098,1.10572857036945,"#80808026"
"FVD","Groep Van Haga",1.1122844355582,2655,0.800904977375566,3315,1.1122844355582,2.0561422177791,"#4D4D4DCC"
"FVD","JA21",0.795718623836222,2434,0.736459909228442,3305,0.795718623836222,1.89785931191811,"#80808026"
"Omtzigt","FVD",-0.363112786494458,1625,0.492573507123371,3299,-0.363112786494458,1.31844360675277,"#80808026"
"PVV","FVD",0.946123195016347,2539,0.763609022556391,3325,0.946123195016347,1.97306159750817,"#80808026"
"PvdA","FVD",-0.792840132723387,1325,0.399457340970757,3317,-0.792840132723387,1.10357993363831,"#80808026"
"PvdD","FVD",-0.676813749241576,1406,0.424645122319541,3311,-0.676813749241576,1.16159312537921,"#80808026"
"FVD","SGP",0.158289726929977,1989,0.599819059107358,3316,0.158289726929977,1.57914486346499,"#80808026"
"FVD","SP",-0.424707039453938,1582,0.475932611311673,3324,-0.424707039453938,1.28764648027303,"#80808026"
"FVD","VVD",-0.284329439685821,1680,0.504807692307692,3328,-0.284329439685821,1.35783528015709,"#80808026"
"Volt","FVD",-0.795704981698247,1323,0.400909090909091,3300,-0.795704981698247,1.10214750915088,"#80808026"
"Fractie Den Haan","FVD",-0.767056491949651,1343,0.406476997578692,3304,-0.767056491949651,1.11647175402517,"#80808026"
"Fractie Den Haan","G<U+00FC>ndogan",0.582287375209187,2285,0.693474962063733,3295,0.582287375209187,1.79114368760459,"#80808026"
"Fractie Den Haan","GroenLinks",1.10798716209591,2652,0.800724637681159,3312,1.10798716209591,2.05399358104796,"#4D4D4DCC"
"Fractie Den Haan","Groep Van Haga",-0.447625831252814,1566,0.47440169645562,3301,-0.447625831252814,1.27618708437359,"#80808026"
"Fractie Den Haan","JA21",-0.307248231484697,1664,0.504701243554747,3297,-0.307248231484697,1.34637588425765,"#80808026"
"Fractie Den Haan","Omtzigt",0.178343669753993,2003,0.608259945338597,3293,0.178343669753993,1.589171834877,"#80808026"
"Fractie Den Haan","PVV",-0.358815513032168,1628,0.491694352159468,3311,-0.358815513032168,1.32059224348392,"#80808026"
"Fractie Den Haan","PvdA",1.10655473760848,2651,0.802118003025719,3305,1.10655473760848,2.05327736880424,"#4D4D4DCC"
"PvdD","Fractie Den Haan",0.910312582830603,2514,0.762280169799879,3298,0.910312582830603,1.9551562914153,"#80808026"
"Fractie Den Haan","SGP",0.218451555402027,2031,0.614709443099274,3304,0.218451555402027,1.60922577770101,"#80808026"
"Fractie Den Haan","SP",0.873069546157429,2488,0.75166163141994,3310,0.873069546157429,1.93653477307871,"#80808026"
"Fractie Den Haan","VVD",0.102425171920216,1950,0.588590401448838,3313,0.102425171920216,1.55121258596011,"#80808026"
"Fractie Den Haan","Volt",1.10798716209591,2652,0.805100182149363,3294,1.10798716209591,2.05399358104796,"#4D4D4DCC"
"G<U+00FC>ndogan","GroenLinks",0.433315228516492,2181,0.659111514052584,3309,0.433315228516492,1.71665761425825,"#80808026"
"G<U+00FC>ndogan","Groep Van Haga",-0.911731365180058,1242,0.376591873862947,3298,-0.911731365180058,1.04413431740997,"#80808026"
"JA21","G<U+00FC>ndogan",-0.791407708235957,1326,0.402550091074681,3294,-0.791407708235957,1.10429614588202,"#80808026"
"Omtzigt","G<U+00FC>ndogan",-0.310113080459556,1662,0.50516717325228,3290,-0.310113080459556,1.34494345977022,"#80808026"
"PVV","G<U+00FC>ndogan",-0.953271675315521,1213,0.366686819830713,3308,-0.953271675315521,1.02336416234224,"#80808026"
"PvdA","G<U+00FC>ndogan",0.429017955054202,2178,0.659600242277408,3302,0.429017955054202,1.7145089775271,"#80808026"
"PvdD","G<U+00FC>ndogan",0.189803065653431,2011,0.610318664643399,3295,0.189803065653431,1.59490153282672,"#80808026"
"G<U+00FC>ndogan","SGP",-0.201248819414894,1738,0.526507119054832,3301,-0.201248819414894,1.39937559029255,"#80808026"
"G<U+00FC>ndogan","SP",0.0923982005082075,1943,0.587541578469912,3307,0.0923982005082075,1.5461991002541,"#80808026"
"G<U+00FC>ndogan","VVD",-0.182627301078307,1751,0.529003021148036,3310,-0.182627301078307,1.40868634946085,"#80808026"
"Volt","G<U+00FC>ndogan",0.509233726350269,2234,0.678821027043452,3291,0.509233726350269,1.75461686317513,"#80808026"
"GroenLinks","Groep Van Haga",-0.516382206649443,1518,0.456541353383459,3325,-0.516382206649443,1.24180889667528,"#80808026"
"JA21","GroenLinks",-0.487733716900847,1538,0.464231814065801,3313,-0.487733716900847,1.25613314154958,"#80808026"
"Omtzigt","GroenLinks",0.3230185429844,2104,0.636226186876323,3307,0.3230185429844,1.6615092714922,"#80808026"
"PVV","GroenLinks",-0.305815806997267,1665,0.497757847533632,3345,-0.305815806997267,1.34709209650137,"#80808026"
"PvdA","GroenLinks",2.04049550341269,3303,0.990999099909991,3333,2.04049550341269,2.52024775170634,"#4D4D4DCC"
"PvdD","GroenLinks",1.50906601857624,2932,0.881274421400661,3327,1.50906601857624,2.25453300928812,"#4D4D4DCC"
"GroenLinks","SGP",0.255694592075201,2057,0.618088942307692,3328,0.255694592075201,1.6278472960376,"#80808026"
